"Historian uses lasers to unlock mysteries of Gothic cathedrals","A tech-savvy art historian uses lasers to understand how medieval builders constructed their architectural masterpieces.",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/K4aUYWxbO14/,"16 April 2019 20:30:00","Rachel Hartigan Shea"
"A running list of how President Trump is changing environmental policy","The Trump administration has promised vast changes to U.S. science and environmental policy—and we’re tracking them here as they happen.",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/HVEipnxHppU/,"11 April 2019 14:30:00","Michael Greshko"
"These pictures made photographic history","From a close-up of a spider to the first underwater color photos, these pioneering pictures capture the spirit of exploration.",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/O8dg2XrBX_s/,"05 April 2019 13:00:00","Becky Little"
"Gotcha! History's Most Outrageous April Fools' Jokes","Learn about these clever April Fools' Day hoaxes and pranks, including the famous Swiss spaghetti harvest.",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/Mfd-iWd-e08/,"01 April 2019 8:00:00","Becky Little"
"49 environmental victories since the first Earth Day","As Earth Day turns 49, we take a look back at the biggest milestones in environmental protection.",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/hFFIf38uwuw/,"20 March 2019 19:00:00","Brian Clark Howard"
"Bomb cyclones and polar vortexes—winter's scary weather explained","What creates these dramatic-sounding weather conditions?",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/OzX8RfHF1-s/,"13 March 2019 14:00:00","Sarah Gibbens"
"Specific Stonehenge quarries identified by new research","Two ancient quarries some 180 miles from the famed prehistoric monument have been identified as the source for stones in the monument’s inner circle.",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/FMIPuKaneb4/,"21 February 2019 20:15:00","Nick Romeo"
"First mammal species recognized as extinct due to climate change","The humble Bramble Cay melomys has disappeared from its island in the Great Barrier Reef.",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/agjz2YdjY1c/,"20 February 2019 19:05:00","Brian Clark Howard"
"From St. Nicholas to Santa Claus: the surprising origins of Kris Kringle","Santa Claus, Father Christmas, St. Nick—no matter the name, everyone knows the story of this plump, jolly, bringer of gifts. Or do they?",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/btWOvZZg1rU/,"25 December 2018 13:30:00","Brian Handwerk"
"Where's Santa buried? Resting places of the real St. Nick","The mortal remains of the 4th-century Greek bishop are likely scattered around the world as holy relics.",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/jSkGowdRWvo/,"22 December 2018 10:00:00","Brian Handwerk"
"When is the first day of winter? December solstice 2018 explained.","Find out how astronomy and meteorology differ on the definition, why solstices happen, and how the day is marked around the world.",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/xHZZaGr78-E/,"21 December 2018 15:50:00","Brian Handwerk"
"A whopping 91% of plastic isn't recycled","Billions of tons of plastic have been made over the past decades, and much of it is becoming trash and litter, finds the first analysis of the issue.",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/dutrL4wCUUo/,"20 December 2018 15:00:00","Laura Parker"
"Fast facts about plastic pollution","Versatile, pliable, durable, cheap to produce—and ubiquitous. Plastic is all of that. It is also both a life-saving miracle product and the scourge of the Earth. Here are eight essential facts to keep in mind.",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/UQqNfdXNxjc/,"20 December 2018 15:00:00","Laura Parker"
